x0,x1,shap0,shap1,label
14.469915,9.256977,20.864822,22.939417,0
11.901207,11.387493,14.94441,19.64497,0
9.528398,-5.2287397,13.532773,11.455737,0
15.356033,-0.7093106,-8.917241,-8.334156,0
6.46751,-3.5626774,23.274258,-2.8966312,0
15.216571,-0.8007236,-8.917256,-8.334213,0
3.3046768,11.513,16.143879,-0.007736744,0
6.554666,-5.552578,13.385087,6.3611765,0
10.593936,12.598698,17.753698,15.959683,0
8.025408,13.425448,10.348732,-6.827211,0
8.06349,13.436211,10.399675,-6.822841,0
9.195241,-5.700314,13.556962,12.107755,0
10.3747225,14.632462,17.857456,14.844295,0
10.948219,17.46392,6.671209,1.0783235,0
14.543407,9.204592,20.785671,23.019533,0
8.761949,-5.95784,18.55452,6.4303746,0
3.8335266,11.2109375,17.568428,0.5796435,0
5.12397,9.926991,11.886646,-0.7136678,0
5.625293,-5.812655,24.299839,-3.1702175,0
14.465367,-1.1216623,-13.604238,-1.57917,0
11.551321,10.904762,14.974393,19.595722,0
6.4848337,-3.5793896,23.288631,-2.911395,0
15.226106,-1.1957744,20.426378,27.591759,0
8.600706,13.679139,9.639984,-6.8717537,0
14.963164,-1.0961152,-8.577569,-4.394156,0
5.6258354,-5.8138027,23.303041,-2.8899117,0
6.5436783,-3.6425498,24.310974,-3.1672404,0
10.441469,15.799055,10.028321,-3.136709,0
14.375652,-1.0974787,-13.604247,-1.5791267,0
8.820184,-5.993673,18.55134,6.4214983,0
3.7521033,7.016254,10.73992,-0.22209485,0
5.040189,10.314373,11.955193,-0.69846016,0
11.529726,11.471028,23.649588,13.125206,0
10.729465,16.340527,7.0232964,1.0908866,0
3.4592085,5.92505,-5.078893,-7.6588807,0
10.5326185,12.801779,17.612118,15.83042,0
10.572225,12.721239,17.655138,15.904338,0
2.3541462,11.814283,27.825186,-6.3109055,0
10.805888,10.134693,24.14682,10.012733,0
15.311544,-0.7104544,20.435608,27.600296,0
14.41942,9.301348,20.847065,22.953697,0
5.49876,20.492754,11.51331,-6.0254188,0
8.803777,14.016081,11.23858,-6.152569,0
5.787508,11.047887,6.5170484,-7.415547,0
9.577365,11.240171,16.870737,14.7617,0
5.4869103,20.474052,7.752321,2.047236,0
10.090162,14.205301,18.672247,15.550198,0
5.4698696,20.453547,7.732528,2.0347068,0
11.053177,11.672752,24.495394,12.858915,0
4.813344,10.5102415,12.901065,-0.68964565,0
10.0622635,-4.824495,16.048903,6.8296824,0
10.753508,9.976806,24.126549,9.994196,0
10.364713,13.4742775,17.756071,15.965313,0
10.43568,13.093657,17.629791,15.870922,0
11.230287,10.764874,24.65733,12.451091,0
2.0790617,12.233902,27.79308,-6.278747,0
9.459155,11.211294,16.855518,14.746072,0
11.227651,10.415059,24.252506,10.27091,0
8.148878,-5.71166,18.30429,6.2948823,0
4.228982,20.063742,7.5936937,1.9167429,0
4.0364,7.7277923,13.659311,-0.3846061,0
6.0432944,11.270182,6.844176,-7.431595,0
15.040604,-1.4783437,-7.203204,-12.323728,0
9.218231,-4.3629885,14.643281,6.4998674,0
10.749515,9.975415,24.016375,9.859129,0
4.1771045,10.590823,14.778328,-0.59166455,0
9.744117,-5.257798,12.328253,11.194753,0
15.426932,0.21811172,20.391582,27.555851,0
9.963265,14.741855,8.847141,-6.862072,0
8.810711,14.063381,11.1649,-6.1866097,0
9.343326,-5.530186,12.319812,11.165745,0
1.4536315,11.584317,27.83628,-6.322013,0
14.704554,-1.1571867,-8.917399,-8.334075,0
8.601037,-5.8640494,18.540918,6.4240675,0
14.901494,-1.3849692,-8.572251,-4.3891172,0
3.9759238,11.082883,15.87135,-0.21574846,0
11.840892,11.474791,14.966899,19.6032,0
6.443776,11.622032,9.879182,-2.9836912,0
6.5750475,11.748462,9.95735,-3.0667634,0
5.1175103,10.075508,11.900261,-0.66599816,0
14.622872,9.119273,20.955038,22.841646,0
2.9909549,11.761156,2.2987938,-7.813251,0
11.979114,11.3341465,20.854445,22.949593,0
10.343553,14.60139,17.984978,14.687089,0
9.658515,11.256621,16.911024,14.725399,0
3.179816,11.586873,16.121912,-0.005026683,0
3.433095,5.8936076,-5.192316,-7.545073,0
6.3356028,11.503288,6.6381917,-7.4753904,0
9.366674,-5.631098,13.494734,11.765604,0
2.2616987,11.796991,14.80579,-1.0051517,0
8.023537,13.391349,10.427744,-6.76509,0
3.2849526,11.516603,16.17778,0.022207778,0
11.8875065,11.405619,20.99722,22.798586,0
6.684436,-5.5137677,15.811957,6.6409774,0
2.9077566,11.465695,14.788891,-0.69788665,0
5.6294537,-5.844884,10.761979,-0.252657,0
2.2595234,11.603545,17.384224,0.46894923,0
6.5995793,-5.5354357,13.373319,6.356939,0
15.244427,-1.7756281,-8.9172735,-8.334263,0
11.012905,16.699509,6.2836266,1.4345286,0
9.808743,-4.4992332,16.029175,6.8433285,0
8.861791,-5.930874,13.584262,12.135486,0
1.9411547,12.767008,17.074663,0.5777171,0
9.825987,-4.5636907,15.967844,6.8679433,0
2.252201,12.0601015,27.834652,-6.3203597,0
1.310956,11.456239,14.7820425,-1.0251162,0
16.173735,-1.2381134,21.07449,28.583313,0
8.7481785,14.13422,7.358102,1.8084555,0
15.4827385,-0.89743114,-7.2058115,-12.326792,0
16.14078,-1.2102559,20.459644,27.590153,0
9.921666,-4.749615,14.881206,6.3159065,0
8.712964,11.02894,17.95489,14.647994,0
15.460176,0.2415806,20.403894,27.567148,0
10.121978,11.360015,16.876577,14.764961,0
9.990787,13.839271,17.904722,14.789198,0
4.079944,11.074046,24.029827,9.8702345,0
10.206125,11.403002,24.283695,12.998028,0
8.95596,11.149719,17.547117,15.171027,0
1.2528228,11.386467,14.503155,-0.7876187,0
6.4843006,-3.5818336,24.380945,-3.1020947,0
15.549042,-1.186939,20.469044,27.632713,0
15.26958,-1.7257761,-7.1135015,-12.233915,0
10.76705,16.409418,6.935477,1.052488,0
3.3963645,5.8657656,-5.1427197,-7.595541,0
10.760703,16.393406,7.1900187,1.3144181,0
9.779498,11.308633,16.891022,14.774316,0
11.011907,16.689377,6.375249,1.347149,0
9.566892,-5.0713916,13.713533,10.866203,0
2.5293512,13.157912,23.029654,10.252795,0
1.8070173,11.618587,14.941946,-0.93482256,0
9.783043,-4.5412817,14.568139,6.483096,0
12.0831,11.328319,20.805517,22.998484,0
8.793728,11.103632,18.72772,15.500063,0
6.0266204,11.254556,6.815449,-7.410641,0
10.795903,16.430763,7.1654596,1.3101828,0
15.127725,-1.3974967,20.392525,27.552332,0
14.377289,-1.1065773,-8.55446,-4.3712335,0
11.855734,11.2889,20.967813,22.82795,0
14.44902,-1.1668799,-7.2029314,-12.323384,0
5.5057135,20.466904,11.515626,-6.040074,0
4.5110655,9.087578,13.321922,-0.2236221,0
3.9691477,7.655357,12.8540945,-0.7459772,0
10.791737,10.113327,24.074009,9.911524,0
8.658732,-5.8169684,18.537373,6.451786,0
15.277537,-1.3076545,20.478573,27.641415,0
7.84048,-3.8133273,23.30292,-2.915534,0
1.5011541,11.595897,27.816082,-6.3017907,0
4.4586453,9.046683,12.925177,-0.48973036,0
2.3730354,11.896704,17.603361,0.61558145,0
10.346767,14.237842,17.57349,15.612776,0
11.936834,11.360764,20.774757,23.02995,0
10.932502,17.473358,6.61946,1.1114217,0
1.9857717,12.79927,17.39369,0.496953,0
15.289246,-1.7308507,-7.1866035,-12.306953,0
10.073501,14.388273,17.962198,14.68987,0
3.9825144,7.754126,14.532818,6.4366193,0
7.3550334,-5.4359393,14.954815,6.3351703,0
9.702155,-5.0392637,13.670108,10.834706,0
9.652978,-4.4927106,13.968146,6.3196483,0
5.2242208,10.694982,12.713753,-0.6622295,0
10.81121,10.064149,24.12792,9.969728,0
14.57995,9.178237,20.903435,22.896042,0
10.405866,15.739392,10.075937,-3.2156878,0
15.3987465,0.15813367,20.440516,27.605318,0
2.5166888,13.152,23.036322,10.244829,0
9.624381,-5.217031,13.630816,10.795399,0
8.772309,13.802268,9.004199,-6.9694266,0
9.056827,14.236712,9.878434,-6.860156,0
10.945997,16.634964,6.6890907,1.1324896,0
9.027592,14.26239,10.966001,-6.2420626,0
8.974539,-4.049296,13.387585,-1.5650036,0
9.195519,-5.7701883,13.606063,12.189374,0
3.4314702,5.8732095,-5.085793,-7.651901,0
10.865918,16.521145,7.0098815,1.0920793,0
4.4767337,10.445221,13.692761,-0.39193508,0
9.7670555,-4.721803,14.715525,6.3780446,0
5.557167,20.462374,11.526069,-6.0490727,0
10.611891,11.593287,24.677773,12.435705,0
3.9490762,6.2850366,10.727768,-0.21033986,0
15.457575,0.25977868,21.011349,28.491282,0
4.2240005,10.988594,13.512083,-0.8972496,0
3.8716,6.364385,10.744549,-0.22229579,0
10.540964,15.9800825,7.042432,1.1006336,0
10.599372,12.670307,17.61674,15.551303,0
10.901247,16.61336,6.6024466,1.1396112,0
10.795341,16.649452,7.0050554,1.0907654,0
9.782963,-4.5745263,14.570642,6.436531,0
8.8434725,11.143255,17.652811,15.069312,0
9.757903,-5.2940555,12.337678,11.178492,0
7.094749,-5.454625,15.947893,6.7816257,0
6.5055757,-3.6014564,24.311739,-3.164636,0
15.246255,-1.622386,-7.204017,-12.324148,0
4.459617,9.073044,11.968373,-0.7076059,0
3.08423,11.7139225,17.417723,0.47701594,0
4.147163,20.001955,6.609553,1.7245524,0
8.744273,14.128805,7.295542,1.8182424,0
11.317133,11.621864,24.249851,13.053022,0
10.160265,14.16089,18.673267,15.558652,0
9.128236,-5.8175945,13.571007,12.124732,0
11.331898,10.515559,24.601383,12.562306,0
10.946175,17.45145,6.3646936,1.3704323,0
9.783509,-4.959323,18.08214,6.3573604,0
5.441727,20.43059,7.754867,2.0494056,0
15.134185,-1.3472996,20.551289,27.673489,0
6.561909,11.729597,6.710059,-7.481897,0
2.549109,13.1595955,23.989714,9.832891,0
11.332357,10.591126,24.641783,12.2547865,0
14.710226,9.005523,20.983278,22.815306,0
10.1579485,14.056291,17.911797,14.767597,0
3.9619596,7.688036,13.919436,6.322983,0
15.083848,-1.3151737,-8.567268,-4.384013,0
15.26436,-1.7776613,-13.604231,-1.5791719,0
14.648514,9.0681715,14.977209,19.59174,0
5.097655,9.852384,11.763641,-0.69823676,0
2.3304458,12.068464,27.84935,-6.335077,0
10.764504,9.989312,23.987562,9.828923,0
4.2952747,10.963352,13.333764,-0.9355727,0
4.006108,7.402707,12.265539,-0.92191035,0
10.421774,15.732275,9.93462,-3.0431926,0
5.598541,20.559956,7.7143435,2.014226,0
10.945262,17.48663,6.3619623,1.3599834,0
9.394821,11.188172,16.94813,14.87385,0
3.9793205,7.3735137,12.130198,-0.8551195,0
14.749724,-1.2529584,-8.560038,-4.3769093,0
5.914784,11.169742,10.771512,-0.25713867,0
5.1026287,9.891607,11.881594,-0.6750067,0
8.967619,-4.0418262,13.389355,-1.5652555,0
5.6032944,20.566555,7.0769377,1.8667854,0
9.46435,-4.7592893,13.673707,10.942988,0
2.530629,13.166782,23.028214,10.252837,0
3.4056509,5.870248,-5.1694145,-7.5688705,0
11.002579,16.675674,6.3476577,1.3228861,0
3.9898758,7.7712355,13.518172,-0.3787109,0
3.9463255,6.2857876,10.833966,-0.27507544,0
3.80466,11.18221,17.591202,0.5454202,0
4.4094114,10.59102,13.801668,-0.4413967,0
10.8061075,16.461203,6.7950726,1.0666585,0
9.118731,-5.82586,13.538855,12.096741,0
1.5159584,11.609744,27.872438,-6.3581467,0
15.424846,0.21205913,20.617096,27.87363,0
9.900771,11.331708,16.86172,14.750686,0
3.357507,5.822271,-5.1509094,-7.5873337,0
4.5880194,10.844158,13.230554,-0.74948424,0
9.671168,11.312469,17.295055,15.325716,0
14.714667,9.004925,20.823765,22.983627,0
9.342206,-5.653561,13.506168,11.79298,0
4.45376,9.063135,12.619758,-0.63294417,0
3.9825325,7.728103,13.893299,6.3248806,0
7.507271,4.057967,16.451519,-4.6842256,0
8.73913,13.803485,9.742144,-6.8697596,0
9.968133,-4.924516,14.912443,6.322775,0
6.2481375,19.20903,10.593941,-6.4006643,0
8.816757,13.953374,10.452172,-6.322008,0
10.750579,9.972454,24.044525,9.8851,0
15.278122,-1.7969109,-7.157574,-12.278039,0
8.442127,-5.8693905,18.54623,6.4207616,0
9.415394,-5.007279,13.639168,10.810048,0
8.817271,11.107867,18.699661,15.506535,0
2.2628,12.005224,27.820236,-6.3059587,0
4.0433593,10.662913,14.77886,-0.6686966,0
11.264292,11.721617,24.33188,12.989913,0
3.6403823,11.285334,17.4415,0.4518089,0
10.019079,14.4421835,17.944452,14.734339,0
11.83097,11.252009,24.278618,13.0443735,0
10.53212,12.833628,17.623346,15.83478,0
5.309875,10.780194,13.133934,-0.7534195,0
8.760081,13.933665,11.105338,-6.1740737,0
15.276825,-1.4242132,-7.1683936,-12.288882,0
6.493954,-3.5896764,24.324696,-3.1528075,0
2.5419712,13.159255,23.927614,9.827053,0
15.28817,-1.8124965,-7.201486,-12.321154,0
14.433499,-1.1247169,20.363655,27.52636,0
2.0890017,12.053716,14.897057,-1.0167185,0
9.465992,11.212121,16.830357,14.722294,0
1.9837906,12.832829,23.027496,10.252648,0
10.710605,11.728773,24.389662,12.9667,0
2.3379087,12.12353,17.04468,0.5580056,0
5.633843,-5.811777,24.25589,-3.1615946,0
8.694435,13.817571,10.483925,-6.706166,0
10.328346,14.653098,17.954706,14.736698,0
3.9383755,6.247205,10.7606535,-0.24300078,0
9.434049,-5.447295,12.333354,11.19716,0
9.698559,-4.552486,14.606166,6.4565816,0
4.001382,6.3284473,10.762153,-0.2291228,0
5.602468,20.563215,7.724454,2.029793,0
6.468145,-5.5689254,13.479734,6.3296905,0
5.612891,-5.8272014,23.346539,-2.9447196,0
6.298847,19.155775,8.985133,-6.9127173,0
5.0943327,9.93391,11.712595,-0.6725749,0
10.364375,13.502687,17.696165,15.90383,0
4.195596,10.960241,17.482754,0.683481,0
4.184946,20.038017,7.178971,1.8382014,0
10.67249,11.457515,24.516008,12.840809,0
3.9805374,7.7216916,13.456313,-0.37232664,0
4.0399404,7.9979067,13.701972,-0.39511675,0
10.135975,14.182305,17.677927,15.110583,0
8.99207,14.319626,10.931895,-6.2958703,0
9.916369,14.520231,8.832172,-6.8542533,0
3.9560354,7.3463726,12.223815,-0.96882033,0
14.683266,9.035172,21.072235,28.580128,0
6.450143,-3.5454922,23.290112,-2.9114587,0
9.5212,11.220222,16.845469,14.730008,0
8.640603,13.69809,8.80762,-6.832889,0
10.93224,17.468063,6.560402,1.1488743,0
15.433892,0.22496574,21.0734,28.582008,0
8.7147875,13.767828,9.000283,-6.9018946,0
6.2148747,19.265858,11.424774,-6.1056623,0
5.610568,-5.8246865,24.326658,-3.1505036,0
14.80451,-1.3088459,-7.179218,-12.299612,0
11.594738,11.440314,23.67283,13.131272,0
9.4986315,-5.3075404,12.328889,11.195855,0
9.986183,-4.8663836,16.030096,6.837698,0
4.7212143,10.406063,12.050488,-0.8081284,0
10.3920555,13.136579,24.656229,12.27754,0
8.076835,13.425959,10.379806,-6.760556,0
6.4679656,-3.5626423,23.301456,-2.9245377,0
11.303202,10.485984,24.678627,12.331879,0
10.321929,13.623798,18.544456,15.625916,0
5.619498,-5.8229747,24.252079,-3.159549,0
4.0633583,10.691444,15.976244,-0.120251186,0
7.8577576,-3.8174984,23.299053,-2.9133663,0
15.314564,-0.6369927,20.376495,27.540106,0
3.3543034,5.8203797,-5.0560794,-7.6817083,0
15.261532,-1.1966846,20.48684,27.654963,0
1.3380429,11.466361,14.797152,-0.98301435,0
2.9287853,11.770415,2.2998886,-7.814768,0
5.8034334,-5.698009,23.270962,-2.8907552,0
15.272993,-1.7989305,-8.5262785,-4.3429418,0
10.647551,12.318415,17.610886,15.835721,0
4.7420454,10.484025,12.933428,-0.6470145,0
4.8836837,10.562007,12.7902155,-0.7364147,0
4.4796166,9.131094,13.350873,-0.24324723,0
1.5071142,11.563621,2.3053112,-7.8202367,0
10.905981,11.850844,24.649776,12.471455,0
2.426077,11.822625,14.947216,-0.89782655,0
8.341774,-5.819834,18.556335,6.4334188,0
3.271148,11.527323,16.194971,0.038271047,0
5.078454,9.826393,11.84808,-0.6500472,0
5.8318324,11.097824,6.501726,-7.414674,0
8.842029,11.126162,17.575497,15.128921,0
11.617597,11.241224,14.949819,19.621967,0
4.2195206,20.059242,7.4908223,1.8526553,0
2.2159204,11.974762,27.86042,-6.3460984,0
6.2826514,19.170948,10.4585495,-6.2886276,0
10.02765,11.366166,16.97485,14.907456,0
8.719202,14.156303,7.2517896,1.7917944,0
2.283178,11.910172,27.824312,-6.3100233,0
2.497934,11.708956,16.032093,-0.0867011,0
3.5624,11.330464,15.915259,-0.19686387,0
-4.8183074,5.7797637,8.292578,6.769596,0
10.85128,16.518751,6.9911876,1.061546,0
7.857266,-3.8167028,23.261877,-2.8861818,0
6.4681597,-3.56291,23.272587,-2.894728,0
5.8711762,11.130747,6.499875,-7.4182,0
15.339488,-0.97101927,-7.1703796,-12.290829,0
10.467377,15.822904,10.026641,-3.135865,0
14.655656,9.083593,20.88118,22.919153,0
14.522296,9.237262,20.884687,22.917486,0
16.190863,-1.2344556,20.458761,27.621763,0
10.959297,16.643253,6.354894,1.3883315,0
9.722949,-4.5386367,14.959195,6.3532395,0
3.4348187,11.399537,15.950688,-0.16223425,0
5.270935,10.678254,13.285897,-0.32147074,0
2.0602112,11.58684,27.837116,-6.3228264,0
11.310322,10.506048,24.70386,12.396793,0
2.5272236,11.773572,2.300151,-7.815031,0
10.50238,11.537258,24.336153,12.9525175,0
10.340476,14.233368,17.62756,15.436054,0
3.5052662,11.3639765,17.533121,0.6421043,0
3.820061,10.773428,14.930151,-0.9174504,0
15.42652,0.22971861,21.072493,28.579931,0
9.855475,-5.1480217,13.669339,10.847404,0
6.306371,19.147696,10.448117,-6.2849727,0
8.007687,13.402213,21.07354,28.581638,0
3.642476,6.22811,-5.0590773,-7.67858,0
6.2718434,19.182905,10.474171,-6.275699,0
14.571903,9.150783,14.961537,19.607502,0
10.971714,16.648779,6.4338145,1.27049,0
15.409146,0.013062123,20.42399,27.61268,0
3.2365878,11.561635,17.550695,0.5839301,0
3.9976692,7.38072,12.221738,-1.0622841,0
14.4277725,-1.1349587,-7.18104,-12.301535,0
5.100573,9.892822,11.934097,-0.70897555,0
15.2598715,-1.6136228,-7.1752696,-12.295898,0
6.2947426,19.157324,10.6427965,-6.352087,0
10.2345295,13.980735,17.894974,14.849468,0
10.912745,17.48828,6.3324885,1.4884104,0
8.901706,-5.916999,13.569091,12.121561,0
10.907492,17.44917,6.369575,1.3798133,0
15.261775,-1.8025941,-7.1797047,-12.300184,0
8.965466,14.369734,11.539334,-6.0375237,0
10.136219,14.252404,18.678211,15.549586,0
5.937043,11.188592,6.537233,-7.3949213,0
15.334818,-0.80002326,20.424038,27.586933,0
4.1538463,20.010572,6.8253245,1.7801483,0
10.094855,13.903258,13.458328,-1.1232862,0
3.8787231,11.134114,17.602028,0.59371823,0
6.5859127,11.758085,9.888392,-2.9667473,0
2.0880744,11.987606,14.852846,-0.9762413,0
10.381409,13.444535,17.954285,15.847129,0
3.9457471,7.3084054,12.157928,-0.9799949,0
6.568099,-5.552168,13.366719,6.342556,0
8.788661,11.09118,18.6825,15.5370655,0
9.431271,-5.0328336,12.314263,11.207957,0
7.507305,4.0579147,16.451366,-4.6840596,0
10.280373,15.279265,7.096011,-7.5497117,0
10.34915,15.56043,10.038994,-3.151638,0
6.576352,11.748702,9.89619,-3.000306,0
2.360969,12.040832,27.857836,-6.3435955,0
6.436562,11.601675,7.0656543,-7.530427,0
4.469446,9.081698,13.29656,-0.24194348,0
1.5482681,11.613212,27.835228,-6.3210273,0
15.313606,-0.74485046,20.445532,27.607162,0
1.2417376,11.401752,14.515571,-0.7740743,0
14.692255,9.021478,21.082047,28.588135,0
8.367318,-5.786158,18.533787,6.4158635,0
14.962594,-1.4250917,-7.1500187,-12.270367,0
3.9301243,7.329574,12.226942,-0.9701524,0
3.413726,5.885989,-5.150891,-7.587539,0
5.6769753,-5.788095,13.375678,6.3555446,0
10.931196,17.465199,6.321276,1.4951313,0
3.428227,5.89204,-5.1892815,-7.549138,0
14.661228,-1.231852,-13.604234,-1.5791775,0
10.472393,15.854729,10.037183,-3.1493013,0
8.798288,11.096804,17.56622,15.094953,0
5.5793223,-5.8579316,24.345125,-3.139281,0
10.8958025,17.086334,6.6843314,1.0773162,0
5.5658855,20.525364,7.7300086,2.0360417,0
2.3717663,11.89129,16.272024,0.087512456,0
7.2142863,-5.433455,15.940596,6.776277,0
10.076663,14.26682,8.746198,-6.82466,0
5.431145,10.80608,12.781738,-0.6839305,0
12.014735,11.326696,20.94689,22.85171,0
15.437551,0.2396921,21.073927,28.582333,0
14.388487,-1.1114666,-13.604216,-1.5791755,0
8.04859,13.434037,10.384052,-6.804613,0
7.5072503,4.0580053,16.45135,-4.6840925,0
6.1443114,11.353942,7.084304,-7.5460086,0
10.602142,11.407247,24.72419,12.439522,0
2.5370753,13.135574,24.012218,9.858683,0
1.3069981,11.441815,14.84414,-0.99271923,0
6.2799835,19.174852,9.606086,-6.8727016,0
15.359158,-0.7724714,20.450245,27.598846,0
3.309426,11.501273,15.97811,-0.13674635,0
8.761915,11.092706,6.9594526,-7.476183,0
9.506387,-4.739791,13.718779,10.843206,0
4.1175714,11.031941,17.553802,0.6321837,0
3.2578764,11.525708,15.93036,-0.18320227,0
15.169559,-1.3719972,20.482283,27.645796,0
8.719088,-5.873987,18.521988,6.403598,0
8.325167,-5.84748,18.255188,6.275122,0
11.734133,11.1376705,14.961325,19.608953,0
8.6331835,13.731891,9.435429,-6.847758,0
15.335395,-0.7100797,-8.917307,-8.334125,0
8.764174,11.09658,6.9102316,-7.4610424,0
16.153784,-1.236854,20.414164,27.577936,0
4.443664,10.456369,13.634408,-0.35165653,0
5.129676,9.93545,11.8003025,-0.6846076,0
